node_1,node_2,node_3,num_occurrences
7,76,94,1
69,95,158,2
72,95,158,1
1,2,22,3
55,135,246,1
1,2,279,1
72,80,81,109
73,170,188,12
141,172,265,16
172,205,265,17
52,158,270,1
137,273,278,1
52,95,270,152
22,27,155,9
73,171,188,2
21,22,27,33
21,27,155,8
93,95,270,1
52,93,95,1
170,171,188,2
73,170,171,4
136,137,278,4
1,2,271,1
73,98,99,1
73,98,171,1
8,48,92,5
7,76,92,3
7,85,92,1
170,188,189,2
21,128,271,1
136,137,281,1
171,184,199,3
24,119,275,2
37,70,83,1
56,135,284,1
172,205,258,8
172,202,258,1
177,188,189,2
119,120,275,2
73,160,170,5
73,160,196,3
76,92,107,1
49,50,187,3
49,50,203,1
37,70,127,32
83,135,245,1
203,208,263,1
73,170,177,4
73,177,196,3
72,80,152,2
56,135,245,1
17,55,92,1
178,181,182,1
175,176,179,1
57,84,220,1
77,78,163,66
84,220,221,1
57,84,221,1
174,184,188,1
100,174,184,3
78,79,84,1
82,122,186,1
82,163,186,6
17,108,178,1
17,176,178,1
108,176,178,15
17,108,176,1
108,178,209,1
98,99,174,5
60,73,196,2
57,78,175,1
55,87,246,43
131,199,227,3
17,84,220,1
7,76,107,4
17,138,262,1
70,127,175,4
17,139,198,141
17,138,198,172
138,198,262,1
98,99,125,1
17,18,262,1
17,138,139,154
17,139,222,1
138,139,198,173
198,236,241,1
198,236,286,5
139,198,241,1
213,234,296,2
7,42,47,6
3,7,47,4
3,7,42,4
62,75,125,6
7,85,101,2
7,76,85,5
7,28,76,3
76,85,94,1
7,85,94,1
21,22,109,11
21,27,109,2
22,27,109,3
21,109,155,2
27,72,155,1
22,27,72,1
22,72,155,2
21,27,72,1
55,87,286,51
87,88,286,6
55,88,286,2
55,87,88,1
56,83,124,2
36,38,210,1
55,87,232,1
87,232,286,1
55,232,286,1
32,161,191,1
36,207,254,1
112,218,251,1
92,107,179,1
24,155,283,4
88,108,178,3
88,176,178,3
88,108,176,2
72,155,167,3
71,155,167,2
21,155,167,3
218,219,224,4
6,112,298,6
14,124,175,12
6,216,298,6
108,178,206,5
6,112,216,15
21,22,167,1
166,268,269,19
145,268,269,22
83,124,175,4
145,166,268,20
145,166,269,55
26,153,167,1
145,268,276,12
71,153,167,4
20,218,219,5
218,219,226,3
20,218,226,1
20,219,226,1
20,218,224,1
20,219,224,1
14,83,175,4
71,72,167,3
71,72,153,1
72,153,167,4
219,224,226,1
112,216,298,3
14,83,124,1
108,176,206,6
145,166,276,7
166,268,276,4
166,269,276,3
145,269,276,2
6,112,226,1
6,226,298,1
166,269,292,1
21,22,71,2
145,166,292,3
71,109,167,2
145,166,202,10
166,202,269,8
145,202,269,7
76,86,101,2
126,174,194,1
265,268,276,2
141,172,287,8
268,276,292,3
171,180,184,7
172,265,287,3
141,265,287,3
98,126,174,2
40,72,167,1
268,276,280,4
84,139,198,1
18,222,259,1
18,222,262,1
29,32,94,1
18,45,262,1
172,265,301,1
141,172,301,1
141,265,301,1
3,32,107,1
3,32,38,1
112,134,218,4
59,171,188,1
59,171,184,1
4,47,94,1
3,4,94,2
29,32,86,10
258,288,299,6
202,258,288,1
144,235,292,1
12,134,229,1
107,108,176,3
6,112,218,10
28,32,86,2
28,86,101,5
107,108,178,3
11,235,292,1
75,151,155,1
50,59,184,1
108,176,250,1
28,32,101,3
51,52,159,6
112,218,219,11
26,71,75,1
60,100,174,1
60,174,184,1
134,212,229,1
49,73,170,1
29,86,101,2
22,131,271,1
140,145,166,5
3,4,47,2
60,99,174,1
89,134,230,4
29,32,101,1
60,98,173,1
107,108,206,1
80,102,103,2
60,62,98,1
81,102,103,4
108,191,302,1
107,108,302,1
8,48,85,1
28,29,32,1
6,112,219,4
108,178,191,1
107,108,191,1
6,218,219,2
36,38,121,7
141,273,287,1
72,73,188,1
84,108,176,1
273,285,301,1
34,35,263,2
6,89,218,1
18,112,218,4
72,126,171,1
55,122,135,1
141,142,287,17
111,237,247,1
72,73,126,3
6,112,134,1
6,18,112,1
6,18,219,2
72,73,171,3
6,134,218,1
18,112,219,4
6,18,218,1
6,89,134,3
6,134,230,2
6,89,230,2
18,218,219,8
6,134,229,1
42,121,130,1
29,32,115,2
245,267,277,9
63,98,173,3
2,75,279,1
89,134,249,4
19,89,249,1
19,89,134,1
19,134,249,1
67,68,96,1
51,95,270,21
218,229,243,8
77,78,79,37
29,86,115,1
28,32,85,5
28,29,85,6
37,65,114,2
37,70,114,2
37,65,70,2
65,70,114,2
70,114,127,1
51,52,270,4
61,64,114,6
61,65,114,23
64,65,114,9
61,64,65,7
16,17,65,5
7,66,107,1
7,66,108,12
7,76,108,10
66,76,108,4
16,17,70,1
16,17,127,14
16,70,127,4
17,70,127,1
72,73,174,1
65,116,117,2
28,32,115,37
32,85,115,17
28,85,115,1
85,101,115,12
8,47,48,10
58,78,79,7
8,42,47,4
42,47,91,1
8,47,91,1
8,42,91,1
175,181,192,3
141,142,172,4
16,17,117,4
114,116,117,6
61,116,117,6
61,114,116,18
61,114,117,12
205,288,299,3
10,11,133,1
142,172,273,1
205,280,299,2
141,172,305,1
172,273,305,1
141,142,269,1
140,202,288,1
145,166,285,8
205,258,280,1
288,301,305,1
141,172,205,8
299,301,305,2
269,288,299,1
145,269,299,1
64,114,116,3
140,265,290,1
218,219,229,2
136,272,305,5
142,145,287,1
145,269,287,2
142,145,269,1
142,269,287,2
142,205,287,9
205,269,287,2
142,205,269,1
145,205,287,1
145,205,269,1
272,280,305,1
202,292,300,3
49,59,118,369
59,118,184,1
202,291,300,3
51,119,159,3
52,119,159,3
51,52,119,3
71,81,153,1
75,102,151,1
75,102,155,1
61,65,116,4
75,149,155,1
71,128,167,1
136,141,287,1
89,134,229,1
65,114,116,11
28,92,101,1
36,92,101,1
136,144,305,1
218,219,243,7
77,163,181,1
77,175,181,1
17,33,117,6
91,92,130,1
49,50,59,1
8,76,94,1
76,94,107,1
28,37,85,1
28,85,107,1
58,84,220,1
175,176,186,1
57,84,302,1
117,121,130,13
55,82,246,1
58,161,220,2
57,58,161,2
72,73,173,1
55,246,286,35
87,246,286,31
77,108,178,1
28,41,76,23
76,85,91,5
41,76,91,9
176,209,302,26
33,114,116,1
108,178,286,1
51,60,177,1
77,127,163,74
28,41,85,9
41,76,85,8
28,76,91,4
28,85,91,2
58,77,163,26
31,176,302,6
33,65,116,2
32,114,115,1
28,41,91,7
58,127,163,17
58,77,127,18
37,60,70,1
33,64,65,3
64,65,115,6
33,64,115,6
33,65,115,1
114,117,130,1
72,100,170,1
31,239,302,1
77,163,245,6
60,174,195,1
127,163,245,2
77,127,245,2
92,179,206,1
47,48,97,3
58,163,245,4
58,77,245,3
58,127,245,1
142,144,287,2
88,122,239,4
4,48,97,1
101,210,221,2
35,203,207,1
35,203,294,1
37,56,135,4
37,70,135,17
95,158,275,1
72,126,173,1
60,184,201,4
60,196,201,1
60,184,196,2
184,196,201,1
28,29,76,7
29,76,91,1
37,56,70,1
56,70,135,1
68,168,169,1
101,210,220,3
84,132,161,13
13,222,262,2
29,76,85,4
108,126,170,1
28,29,41,2
29,41,76,2
142,287,305,2
49,60,118,2
100,108,126,1
222,226,262,1
107,126,170,3
136,280,305,2
222,226,259,5
101,220,221,2
28,76,92,4
276,280,305,1
28,29,92,2
29,76,92,1
29,85,92,1
76,85,92,2
100,107,170,1
56,87,286,2
49,158,168,17
87,225,286,15
13,222,259,5
142,268,305,1
84,132,191,6
45,222,259,2
28,41,92,2
41,76,92,2
136,142,305,1
136,142,144,1
4,117,130,4
132,161,191,6
208,294,296,1
84,135,161,2
79,101,220,1
179,181,233,4
100,107,126,1
17,115,121,1
16,17,115,3
13,104,222,1
55,225,286,4
55,87,225,5
178,209,302,7
108,124,232,2
8,37,70,1
8,37,127,1
77,84,191,1
13,104,259,1
55,135,225,1
58,84,163,1
58,77,191,1
135,225,286,1
149,152,167,4
14,124,232,1
100,126,170,2
107,108,247,1
85,91,101,1
71,103,131,1
87,135,286,2
61,65,115,2
49,168,187,2
158,168,187,2
49,158,187,2
41,85,101,1
41,92,101,1
61,114,121,2
7,37,66,6
56,225,286,1
82,245,277,1
55,56,286,1
87,247,286,3
87,236,241,3
85,107,108,2
82,111,135,1
107,108,121,1
55,111,135,4
87,88,246,3
203,204,227,1
16,17,61,54
11,141,205,1
46,89,249,1
16,61,121,8
11,287,292,1
12,112,113,6
12,112,243,1
141,287,292,1
58,132,221,4
16,61,114,3
268,276,305,1
172,268,281,1
141,287,301,28
29,76,101,1
29,61,86,3
63,173,184,1
100,189,195,1
60,125,126,9
265,287,292,2
202,291,292,4
11,235,293,1
172,268,305,1
172,287,316,1
172,207,287,1
177,188,202,2
18,20,298,1
113,217,243,1
141,172,293,1
150,207,293,1
112,216,217,2
150,217,293,1
145,147,166,1
20,262,298,1
177,188,292,1
73,170,173,2
172,205,299,2
141,172,299,1
29,61,114,1
29,36,114,1
29,36,61,1
36,61,114,1
145,251,285,1
104,202,293,2
4,47,48,7
17,42,47,1
111,245,277,4
104,105,293,16
162,177,188,2
22,149,152,1
202,268,276,5
237,245,277,1
149,152,154,1
111,237,277,4
202,268,293,3
5,113,216,3
60,62,183,1
73,173,196,2
49,95,187,1
104,268,276,2
104,268,293,4
178,191,209,1
18,259,262,23
17,36,127,1
71,81,128,2
21,71,128,1
21,81,128,1
21,71,81,1
178,179,191,1
17,29,127,1
73,171,173,4
21,49,128,1
22,49,128,1
21,22,128,2
21,22,49,1
22,81,128,2
71,81,102,1
42,47,85,27
8,42,97,1
199,207,256,2
199,256,296,3
51,171,173,2
51,73,173,3
51,73,171,2
71,81,194,9
72,81,194,4
149,152,169,9
170,177,188,7
29,111,277,9
199,207,296,1
207,256,296,2
21,22,95,2
172,265,281,1
37,76,108,1
76,94,108,2
113,167,216,1
37,94,108,1
63,180,275,1
22,51,173,1
22,73,173,2
13,18,262,8
22,73,196,3
56,124,135,3
141,144,205,4
22,173,196,1
13,18,259,35
71,72,81,42
36,181,220,1
29,237,277,1
64,65,116,1
104,276,293,1
29,252,277,7
29,111,252,4
111,252,277,8
29,111,237,1
51,73,196,1
2,22,321,1
13,18,20,1
71,72,194,2
1,22,171,4
1,2,321,1
9,11,112,3
22,171,321,1
1,171,321,1
1,22,321,1
2,22,171,1
1,2,171,2
141,144,265,4
95,149,152,1
172,272,281,1
172,202,281,1
13,226,298,1
42,85,97,1
126,170,173,1
13,18,298,1
73,187,196,6
149,152,189,1
4,42,85,8
229,295,298,1
145,272,281,2
41,48,76,10
4,42,47,20
4,47,85,16
111,237,252,4
49,73,118,1
28,48,76,3
28,41,48,2
49,73,187,2
1,102,321,1
73,118,187,1
219,229,262,1
149,152,155,2
26,102,167,2
144,258,299,1
229,243,249,1
105,229,249,1
105,218,249,1
98,126,173,1
26,155,167,1
26,74,102,1
194,196,274,1
258,299,305,2
59,118,177,1
142,178,287,1
18,20,262,2
229,243,298,2
45,259,262,1
229,243,295,13
98,170,177,1
18,20,105,1
202,269,288,1
181,233,287,1
1,22,155,1
118,183,185,1
18,20,113,2
99,126,174,2
55,107,286,1
20,104,105,1
18,20,104,1
15,56,135,4
107,108,286,1
98,99,126,2
41,48,101,1
218,219,249,2
73,188,196,1
64,65,121,3
4,36,37,1
4,38,108,1
217,226,290,1
29,64,121,3
29,64,86,3
21,27,323,7
22,27,323,7
21,22,323,13
112,216,262,1
29,64,65,2
142,235,287,1
13,112,259,1
29,65,121,1
219,243,259,1
1,2,131,1
4,47,108,3
4,85,108,3
47,85,108,4
42,47,108,2
42,85,108,1
29,86,121,1
64,86,121,1
27,109,323,1
18,112,113,1
41,48,94,1
20,226,249,1
20,104,217,2
218,219,259,1
229,251,295,3
5,112,216,3
17,36,65,1
16,17,64,1
134,249,259,1
20,249,259,1
41,48,85,1
5,112,259,1
5,216,259,2
5,113,259,3
13,18,112,1
13,226,262,1
178,179,181,4
13,104,226,1
141,287,313,1
58,77,178,1
53,54,231,54
72,99,174,14
63,98,99,1
16,61,65,7
41,91,92,8
64,65,130,2
47,48,61,1
4,92,97,2
8,61,70,2
8,48,70,3
47,48,92,1
87,241,286,1
236,241,286,3
87,236,286,1
102,131,167,1
11,172,281,1
25,102,103,1
11,172,293,1
49,171,177,1
15,43,94,2
49,72,177,1
268,276,299,1
103,232,312,1
72,81,128,1
13,18,229,1
98,99,201,2
98,107,317,1
107,126,177,1
108,126,177,1
107,108,177,2
107,108,126,1
127,163,186,32
78,221,309,5
173,196,314,21
126,177,317,15
177,188,317,3
51,173,196,20
163,186,302,44
127,186,302,19
127,163,302,19
13,259,262,9
17,184,198,1
17,138,184,4
21,22,25,1
99,126,177,1
36,38,116,1
59,177,188,2
82,83,186,5
82,127,186,6
83,163,186,9
83,127,163,2
83,127,186,7
82,127,302,3
83,127,302,1
82,186,302,3
82,83,163,3
82,83,127,2
82,127,163,1
83,186,302,1
232,264,312,2
82,163,277,3
163,186,277,4
126,170,317,53
232,236,241,10
232,236,312,4
232,241,312,5
241,264,312,2
232,241,264,5
232,236,264,7
236,241,312,5
236,241,264,11
127,186,277,1
73,100,177,1
55,108,286,2
107,177,317,1
236,264,312,1
126,170,177,5
73,184,196,3
110,232,236,1
110,232,264,1
110,236,264,2
82,186,277,6
14,124,127,11
14,124,135,45
14,135,175,1
124,135,175,4
14,127,135,6
124,127,135,10
241,264,284,1
124,127,175,5
83,186,277,1
127,135,175,3
55,72,246,1
55,72,87,1
18,72,246,1
18,72,87,1
110,236,241,1
176,178,302,51
205,258,292,2
161,220,221,1
40,71,167,3
22,71,167,3
22,40,71,2
22,40,167,2
108,178,302,1
37,88,239,1
31,178,302,4
14,127,175,1
145,166,323,1
145,166,304,1
166,304,323,1
145,304,323,1
56,82,277,1
47,80,108,1
47,72,80,1
203,207,208,4
43,135,267,1
47,80,237,3
47,80,111,3
47,111,237,4
80,111,237,1
13,259,306,5
15,43,135,4
15,135,312,5
47,71,167,1
95,158,164,2
56,135,247,2
147,263,297,1
13,107,108,13
13,108,259,1
51,52,314,16
107,259,306,1
9,141,316,6
35,148,297,11
147,148,297,18
144,145,166,20
57,127,175,1
58,132,309,1
176,179,209,1
66,112,316,13
176,178,179,1
17,66,112,1
101,163,221,1
207,208,256,1
208,256,263,1
207,208,263,1
207,256,263,1
203,208,256,1
203,215,256,1
208,215,256,1
215,234,256,1
9,112,316,11
94,127,186,5
4,66,130,2
31,116,178,10
116,176,178,13
116,176,302,8
20,90,104,5
131,200,227,1
28,32,130,2
9,112,113,8
28,115,130,4
116,178,302,2
31,116,176,3
28,32,61,9
32,61,115,14
28,61,115,9
32,61,130,2
28,61,130,1
9,235,316,15
9,11,316,9
31,116,302,3
9,112,235,5
144,273,305,1
203,204,256,1
77,163,175,19
127,163,175,14
77,127,175,11
78,107,108,3
61,115,130,5
149,152,321,1
28,41,47,4
33,61,64,3
61,64,130,1
33,61,130,1
33,64,130,1
142,300,305,2
32,61,64,2
176,206,209,4
32,33,64,4
35,147,148,1
61,64,115,2
175,179,181,1
138,139,161,1
213,223,326,4
49,60,184,1
77,163,192,16
92,101,107,1
207,227,294,1
213,223,256,2
205,235,258,1
213,248,326,1
89,112,113,2
37,70,175,1
32,61,114,8
223,248,326,1
9,11,235,9
11,235,316,5
199,203,215,1
28,47,107,2
41,47,107,1
28,41,107,3
9,313,316,2
41,91,107,2
205,258,288,8
37,70,94,1
98,99,170,1
61,114,115,7
64,114,115,2
205,258,269,1
141,287,305,2
28,76,107,1
41,76,107,2
9,142,316,1
9,142,305,1
16,61,115,5
9,305,316,1
89,216,306,2
134,216,306,1
58,175,186,4
9,303,316,1
60,187,320,1
60,187,274,1
187,274,320,1
60,274,320,1
59,98,195,1
17,61,65,1
39,40,321,2
98,99,195,2
58,161,302,9
141,235,287,1
16,17,116,11
142,287,307,2
77,78,221,3
301,305,322,7
135,247,312,1
43,56,135,1
15,43,312,1
14,15,312,2
43,135,312,2
14,135,312,2
14,43,135,1
135,245,312,1
267,277,312,1
15,135,247,1
136,202,272,1
65,114,127,3
47,76,85,1
47,76,129,1
9,10,316,1
89,134,228,1
28,41,101,3
28,91,107,1
181,192,309,1
100,126,177,7
48,94,163,1
280,288,299,1
31,108,178,2
73,171,196,2
291,293,299,1
59,195,317,1
78,79,220,1
48,94,115,1
293,303,305,1
144,293,305,1
144,205,293,1
59,195,196,1
9,126,316,1
126,177,316,1
94,103,108,1
72,73,196,1
11,178,235,1
95,158,159,2
37,41,70,4
32,33,65,1
18,288,299,1
138,139,221,3
265,291,292,1
42,47,107,2
205,268,285,1
138,220,221,2
78,175,181,2
142,305,313,1
142,272,305,2
139,220,221,1
138,139,220,1
59,126,177,2
281,293,296,2
280,291,292,1
69,158,164,2
145,269,272,1
136,272,273,1
145,166,272,1
207,208,296,2
95,159,275,1
49,73,196,1
207,213,223,1
269,272,305,2
269,272,273,1
142,281,313,3
202,269,272,1
49,180,184,1
199,213,215,1
142,172,313,1
142,172,281,1
291,292,305,2
158,164,270,2
291,300,305,1
208,234,296,1
199,213,223,6
49,60,201,1
207,254,296,1
208,254,296,1
250,282,310,1
95,158,270,4
199,215,223,1
282,310,311,1
18,217,249,1
18,105,217,1
136,144,202,1
18,113,217,1
42,47,121,1
28,32,121,1
60,62,125,3
4,86,121,2
4,115,121,1
4,86,115,1
86,115,121,1
6,216,217,94
4,48,85,1
33,64,117,9
126,174,317,13
166,273,301,18
203,215,227,4
60,126,317,2
145,166,301,13
55,247,286,16
272,285,301,6
136,285,301,1
136,272,285,2
136,272,301,1
272,285,305,3
141,142,281,2
9,202,291,2
9,287,291,2
142,281,293,1
9,287,292,1
9,202,292,1
9,202,287,2
202,287,292,1
202,287,291,1
144,272,301,1
144,166,269,3
144,166,276,3
144,166,285,5
166,276,285,4
144,145,285,12
145,276,285,4
144,276,285,2
144,145,276,2
131,279,318,1
142,281,305,1
281,293,305,2
142,293,305,1
133,205,269,1
133,281,299,1
133,235,299,2
145,166,281,1
144,166,281,1
144,145,281,1
7,37,127,1
15,238,284,1
144,166,301,3
28,91,101,1
91,101,115,2
28,91,130,1
78,79,178,1
57,163,176,1
57,77,163,3
31,182,209,9
104,112,134,1
31,175,209,1
161,191,324,7
178,206,302,4
142,202,305,1
63,146,201,1
150,305,313,1
2,22,279,1
60,73,184,2
272,301,305,41
112,301,305,1
112,272,305,2
112,272,301,1
244,251,285,16
147,244,285,17
30,175,186,7
145,166,290,1
26,151,223,1
30,175,193,2
144,272,305,8
173,196,260,6
152,169,213,7
126,170,188,33
50,59,73,1
2,271,279,1
144,145,269,8
147,251,285,6
147,285,297,2
144,166,268,3
144,145,268,3
51,196,314,21
60,180,184,33
164,194,304,2
51,173,314,16
173,260,314,4
22,194,304,1
22,164,194,1
22,164,304,1
35,285,297,3
89,172,281,1
89,142,281,2
126,174,177,7
60,171,184,32
5,19,113,1
104,105,150,1
89,142,172,3
102,153,167,2
89,172,268,2
142,172,268,2
89,142,268,3
166,269,299,4
35,147,297,12
134,150,259,1
202,205,291,1
100,126,174,16
100,174,317,3
100,126,317,6
51,196,260,4
68,157,223,4
90,197,287,4
203,215,234,1
113,134,259,2
5,134,259,1
5,113,134,3
142,268,281,3
26,157,223,2
89,268,281,1
104,105,296,2
100,174,177,5
26,68,157,1
196,260,314,4
177,317,320,1
71,81,169,1
72,81,169,1
170,177,317,2
31,176,182,7
176,182,209,4
100,170,174,7
227,294,326,1
6,134,216,3
51,173,260,1
5,13,226,1
147,297,326,3
144,166,299,12
126,174,195,1
31,178,182,4
176,178,182,2
57,175,186,1
49,50,73,3
5,106,197,13
170,174,317,17
173,177,188,1
60,171,180,2
170,173,174,1
170,173,317,1
5,90,134,1
35,147,326,1
5,90,197,4
5,90,106,4
90,106,197,3
22,155,167,1
172,268,276,1
22,102,167,3
22,151,167,1
52,159,314,1
22,102,155,1
100,173,317,1
89,104,112,1
273,301,305,14
272,273,305,4
272,273,301,1
104,112,243,2
73,118,196,2
100,173,174,2
126,173,174,2
100,126,173,2
35,244,285,17
244,285,297,2
35,244,297,2
13,134,259,4
26,75,151,1
80,81,131,3
166,205,299,2
81,103,131,3
104,134,259,2
217,219,224,2
148,254,294,1
194,304,323,1
6,104,113,1
13,226,259,1
75,149,152,10
89,219,259,1
75,149,151,10
71,102,167,1
35,148,244,1
145,269,305,2
22,71,102,1
80,103,131,2
112,113,298,1
219,224,243,1
9,144,285,1
112,251,298,1
35,244,253,1
26,152,323,1
35,227,254,1
5,104,112,1
161,206,324,1
26,149,323,2
149,152,323,1
89,104,105,1
56,239,261,1
104,105,243,2
71,149,323,1
6,112,217,2
5,6,112,1
13,105,226,4
12,89,104,1
72,73,194,1
33,114,117,3
42,47,48,1
47,48,115,1
55,261,286,1
4,47,101,1
87,123,266,1
87,225,266,2
14,87,124,1
14,124,225,1
14,87,225,2
87,124,225,1
14,87,266,1
14,225,266,1
88,239,261,19
87,225,267,1
261,267,277,5
17,116,117,1
61,108,114,2
64,114,127,2
64,65,127,2
7,37,76,1
7,76,97,1
41,76,97,2
64,114,121,1
32,115,116,8
32,117,130,1
32,115,117,1
94,108,129,1
94,108,115,2
32,115,130,4
4,32,130,1
8,48,115,5
4,48,115,4
4,8,48,6
4,8,115,3
61,65,70,1
32,85,130,2
85,115,130,5
32,101,115,10
32,85,101,12
85,101,130,2
86,91,92,1
101,115,130,2
4,8,42,6
4,8,47,3
4,32,115,1
32,107,115,2
144,166,273,2
7,41,66,6
41,66,97,1
22,152,323,1
71,75,152,2
71,149,152,2
73,75,187,1
30,77,193,1
258,269,305,1
258,269,303,1
235,269,303,1
244,297,326,1
35,248,255,1
35,214,311,1
205,276,303,1
159,199,321,1
268,276,285,1
245,261,267,2
247,261,277,2
245,261,277,2
247,267,277,1
247,261,267,1
245,247,286,5
16,61,116,1
88,247,286,1
88,245,286,1
88,245,247,1
21,22,187,2
22,49,187,1
61,94,114,1
21,22,271,2
49,100,174,3
45,90,134,2
100,174,187,1
218,259,298,1
100,174,183,1
89,112,217,1
89,112,216,5
6,226,262,1
20,104,259,1
20,104,298,1
49,174,187,4
89,216,228,1
112,113,228,1
112,216,228,7
6,138,139,2
138,139,321,3
6,139,321,1
98,100,174,1
159,199,233,2
71,81,326,2
113,228,306,2
216,228,306,2
113,216,228,2
113,216,306,2
112,113,216,3
80,81,326,15
72,81,326,13
72,80,326,12
15,43,228,1
174,177,187,1
174,177,317,3
98,100,201,1
98,177,187,1
41,66,76,3
71,72,326,1
71,72,80,36
170,177,187,1
61,116,232,1
61,65,232,4
174,177,180,1
98,174,177,1
187,195,201,1
94,97,108,2
203,215,254,29
61,97,108,2
203,207,215,57
203,215,326,71
207,215,326,22
203,207,326,19
207,215,254,31
203,207,254,13
62,67,231,64
51,131,159,2
38,94,108,1
32,38,121,1
4,92,94,2
94,101,108,1
21,22,153,2
21,153,155,4
22,153,155,2
55,246,247,2
215,254,326,3
52,62,67,11
52,67,231,28
52,62,231,11
22,102,153,1
22,155,318,1
203,254,326,2
94,107,108,1
94,101,107,1
98,174,195,2
101,163,186,1
78,101,210,2
8,92,97,5
47,92,97,2
78,79,132,2
52,67,271,1
21,155,318,3
8,47,97,4
4,47,92,1
60,98,174,2
175,176,209,1
21,80,155,2
207,213,296,2
22,153,167,2
213,215,326,1
103,153,167,1
22,103,167,1
22,103,153,1
213,296,326,2
254,256,294,1
138,161,198,1
207,213,326,2
207,296,326,4
223,254,256,1
59,98,173,1
80,81,102,1
175,176,193,1
49,187,231,1
125,180,187,1
49,180,187,1
49,125,187,1
49,125,180,2
60,98,188,1
171,184,189,1
8,48,97,4
4,94,108,3
53,63,125,55
175,176,182,1
175,179,182,1
214,282,311,1
92,107,108,2
75,151,279,3
77,78,193,3
87,88,247,1
64,117,121,2
115,117,121,4
64,115,121,1
64,115,117,4
55,87,247,1
123,266,284,2
214,250,311,1
55,247,277,1
214,250,282,1
88,232,261,11
78,163,193,1
138,139,191,1
161,179,191,1
71,75,279,1
77,163,186,5
75,152,167,1
53,59,63,1
26,74,75,1
31,107,132,1
74,75,151,1
31,163,192,1
51,91,327,1
72,81,103,1
207,234,256,1
13,78,108,2
13,78,107,1
223,254,296,1
223,234,256,1
5,6,125,1
254,296,326,4
31,132,210,3
49,54,180,1
54,180,231,2
49,54,231,1
49,180,231,2
31,132,221,1
161,191,210,1
176,206,302,2
64,115,176,20
64,176,302,16
64,115,302,17
115,176,302,22
92,94,108,1
115,176,206,1
55,94,108,1
32,64,115,8
42,92,107,1
41,42,92,1
41,92,107,2
41,42,107,1
84,193,206,5
292,301,305,2
89,90,134,6
41,42,76,4
49,59,195,18
57,78,79,8
57,77,78,3
31,179,209,9
224,243,259,1
57,84,206,1
59,60,125,3
202,285,300,1
258,265,288,15
9,281,303,1
32,33,86,1
32,33,232,1
107,121,127,1
32,107,232,1
33,61,232,1
280,281,299,1
36,38,154,1
217,281,305,4
272,281,305,2
22,102,128,1
70,77,127,1
72,95,149,1
22,72,95,2
140,205,258,1
133,217,281,1
118,194,260,1
17,121,225,7
41,91,179,1
22,149,158,1
22,95,149,1
229,243,259,2
37,70,186,1
141,272,305,5
9,11,303,2
141,142,272,6
14,56,124,4
21,22,39,1
95,149,158,38
217,290,298,1
21,22,159,1
75,155,275,2
23,75,275,1
150,217,298,1
77,127,135,2
141,144,272,2
43,135,186,1
30,82,83,6
17,76,225,2
10,11,303,1
77,107,127,4
77,107,126,1
58,82,83,2
30,58,83,2
30,58,82,8
77,107,163,5
107,127,163,3
65,264,312,2
281,285,298,4
118,126,194,1
17,32,33,1
22,26,167,1
17,64,121,1
22,27,318,7
72,260,314,1
11,36,38,1
95,158,187,2
58,82,193,2
30,58,193,22
30,82,193,1
95,149,187,2
149,158,187,1
205,258,287,16
17,76,121,1
111,236,241,6
31,178,181,1
205,265,288,2
258,288,303,11
51,159,314,1
