1 2 3
3 16 17
3 16 18
3 17 18
4 5 6
4 5 7
4 5 8
4 5 9
4 5 10
4 5 11
4 5 12
4 5 13
4 5 14
4 5 15
4 5 16
4 5 17
4 5 18
4 6 7
4 6 8
4 6 9
4 6 10
4 6 11
4 6 12
4 6 13
4 6 14
4 6 15
4 6 16
4 6 17
4 6 18
4 7 8
4 7 9
4 7 10
4 7 11
4 7 12
4 7 13
4 7 14
4 7 15
4 7 16
4 7 17
4 7 18
4 8 9
4 8 10
4 8 11
4 8 12
4 8 13
4 8 14
4 8 15
4 8 16
4 8 17
4 8 18
4 9 10
4 9 11
4 9 12
4 9 13
4 9 14
4 9 15
4 9 16
4 9 17
4 9 18
4 10 11
4 10 12
4 10 13
4 10 14
4 10 15
4 10 16
4 10 17
4 10 18
4 11 12
4 11 13
4 11 14
4 11 15
4 11 16
4 11 17
4 11 18
4 12 13
4 12 14
4 12 15
4 12 16
4 12 17
4 12 18
4 13 14
4 13 15
4 13 16
4 13 17
4 13 18
4 14 15
4 14 16
4 14 17
4 14 18
4 15 16
4 15 17
4 15 18
4 16 17
4 16 18
4 17 18
5 6 7
5 6 8
5 6 9
5 6 10
5 6 11
5 6 12
5 6 13
5 6 14
5 6 15
5 6 16
5 6 17
5 6 18
5 7 8
5 7 9
5 7 10
5 7 11
5 7 12
5 7 13
5 7 14
5 7 15
5 7 16
5 7 17
5 7 18
5 8 9
5 8 10
5 8 11
5 8 12
5 8 13
5 8 14
5 8 15
5 8 16
5 8 17
5 8 18
5 9 10
5 9 11
5 9 12
5 9 13
5 9 14
5 9 15
5 9 16
5 9 17
5 9 18
5 10 11
5 10 12
5 10 13
5 10 14
5 10 15
5 10 16
5 10 17
5 10 18
5 11 12
5 11 13
5 11 14
5 11 15
5 11 16
5 11 17
5 11 18
5 12 13
5 12 14
5 12 15
5 12 16
5 12 17
5 12 18
5 13 14
5 13 15
5 13 16
5 13 17
5 13 18
5 14 15
5 14 16
5 14 17
5 14 18
5 15 16
5 15 17
5 15 18
5 16 17
5 16 18
5 17 18
6 7 8
6 7 9
6 7 10
6 7 11
6 7 12
6 7 13
6 7 14
6 7 15
6 7 16
6 7 17
6 7 18
6 8 9
6 8 10
6 8 11
6 8 12
6 8 13
6 8 14
6 8 15
6 8 16
6 8 17
6 8 18
6 9 10
6 9 11
6 9 12
6 9 13
6 9 14
6 9 15
6 9 16
6 9 17
6 9 18
6 10 11
6 10 12
6 10 13
6 10 14
6 10 15
6 10 16
6 10 17
6 10 18
6 11 12
6 11 13
6 11 14
6 11 15
6 11 16
6 11 17
6 11 18
6 12 13
6 12 14
6 12 15
6 12 16
6 12 17
6 12 18
6 13 14
6 13 15
6 13 16
6 13 17
6 13 18
6 14 15
6 14 16
6 14 17
6 14 18
6 15 16
6 15 17
6 15 18
6 16 17
6 16 18
6 17 18
7 8 9
7 8 10
7 8 11
7 8 12
7 8 13
7 8 14
7 8 15
7 8 16
7 8 17
7 8 18
7 9 10
7 9 11
7 9 12
7 9 13
7 9 14
7 9 15
7 9 16
7 9 17
7 9 18
7 10 11
7 10 12
7 10 13
7 10 14
7 10 15
7 10 16
7 10 17
7 10 18
7 11 12
7 11 13
7 11 14
7 11 15
7 11 16
7 11 17
7 11 18
7 12 13
7 12 14
7 12 15
7 12 16
7 12 17
7 12 18
7 13 14
7 13 15
7 13 16
7 13 17
7 13 18
7 14 15
7 14 16
7 14 17
7 14 18
7 15 16
7 15 17
7 15 18
7 16 17
7 16 18
7 17 18
8 9 10
8 9 11
8 9 12
8 9 13
8 9 14
8 9 15
8 9 16
8 9 17
8 9 18
8 10 11
8 10 12
8 10 13
8 10 14
8 10 15
8 10 16
8 10 17
8 10 18
8 11 12
8 11 13
8 11 14
8 11 15
8 11 16
8 11 17
8 11 18
8 12 13
8 12 14
8 12 15
8 12 16
8 12 17
8 12 18
8 13 14
8 13 15
8 13 16
8 13 17
8 13 18
8 14 15
8 14 16
8 14 17
8 14 18
8 15 16
8 15 17
8 15 18
8 16 17
8 16 18
8 17 18
9 10 11
9 10 12
9 10 13
9 10 14
9 10 15
9 10 16
9 10 17
9 10 18
9 11 12
9 11 13
9 11 14
9 11 15
9 11 16
9 11 17
9 11 18
9 12 13
9 12 14
9 12 15
9 12 16
9 12 17
9 12 18
9 13 14
9 13 15
9 13 16
9 13 17
9 13 18
9 14 15
9 14 16
9 14 17
9 14 18
9 15 16
9 15 17
9 15 18
9 16 17
9 16 18
9 17 18
10 11 12
10 11 13
10 11 14
10 11 15
10 11 16
10 11 17
10 11 18
10 12 13
10 12 14
10 12 15
10 12 16
10 12 17
10 12 18
10 13 14
10 13 15
10 13 16
10 13 17
10 13 18
10 14 15
10 14 16
10 14 17
10 14 18
10 15 16
10 15 17
10 15 18
10 16 17
10 16 18
10 17 18
11 12 13
11 12 14
11 12 15
11 12 16
11 12 17
11 12 18
11 13 14
11 13 15
11 13 16
11 13 17
11 13 18
11 14 15
11 14 16
11 14 17
11 14 18
11 15 16
11 15 17
11 15 18
11 16 17
11 16 18
11 17 18
12 13 14
12 13 15
12 13 16
12 13 17
12 13 18
12 14 15
12 14 16
12 14 17
12 14 18
12 15 16
12 15 17
12 15 18
12 16 17
12 16 18
12 17 18
13 14 15
13 14 16
13 14 17
13 14 18
13 15 16
13 15 17
13 15 18
13 16 17
13 16 18
13 17 18
14 15 16
14 15 17
14 15 18
14 16 17
14 16 18
14 17 18
15 16 17
15 16 18
15 17 18
16 17 18
1 5 19
1 5 20
1 5 21
1 5 22
1 5 23
1 5 24
1 5 25
1 5 26
1 5 27
1 5 28
1 5 29
1 5 30
1 5 31
1 5 32
1 5 33
1 5 34
1 5 35
1 5 36
1 5 37
1 5 38
1 5 39
1 5 40
1 5 41
1 5 42
1 9 19
1 9 20
1 9 21
1 9 22
1 9 23
1 9 24
1 9 25
1 9 26
1 9 27
1 9 28
1 9 29
1 9 30
1 9 31
1 9 32
1 9 33
1 9 34
1 9 35
1 9 36
1 9 37
1 9 38
1 9 39
1 9 40
1 9 41
1 9 42
1 14 19
1 14 20
1 14 21
1 14 22
1 14 23
1 14 24
1 14 25
1 14 26
1 14 27
1 14 28
1 14 29
1 14 30
1 14 31
1 14 32
1 14 33
1 14 34
1 14 35
1 14 36
1 14 37
1 14 38
1 14 39
1 14 40
1 14 41
1 14 42
1 15 19
1 15 20
1 15 21
1 15 22
1 15 23
1 15 24
1 15 25
1 15 26
1 15 27
1 15 28
1 15 29
1 15 30
1 15 31
1 15 32
1 15 33
1 15 34
1 15 35
1 15 36
1 15 37
1 15 38
1 15 39
1 15 40
1 15 41
1 15 42
1 19 20
1 19 21
1 19 22
1 19 23
1 19 24
1 19 25
1 19 26
1 19 27
1 19 28
1 19 29
1 19 30
1 19 31
1 19 32
1 19 33
1 19 34
1 19 35
1 19 36
1 19 37
1 19 38
1 19 39
1 19 40
1 19 41
1 19 42
1 20 21
1 20 22
1 20 23
1 20 24
1 20 25
1 20 26
1 20 27
1 20 28
1 20 29
1 20 30
1 20 31
1 20 32
1 20 33
1 20 34
1 20 35
1 20 36
1 20 37
1 20 38
1 20 39
1 20 40
1 20 41
1 20 42
1 21 22
1 21 23
1 21 24
1 21 25
1 21 26
1 21 27
1 21 28
1 21 29
1 21 30
1 21 31
1 21 32
1 21 33
1 21 34
1 21 35
1 21 36
1 21 37
1 21 38
1 21 39
1 21 40
1 21 41
1 21 42
1 22 23
1 22 24
1 22 25
1 22 26
1 22 27
1 22 28
1 22 29
1 22 30
1 22 31
1 22 32
1 22 33
1 22 34
1 22 35
1 22 36
1 22 37
1 22 38
1 22 39
1 22 40
1 22 41
1 22 42
1 23 24
1 23 25
1 23 26
1 23 27
1 23 28
1 23 29
1 23 30
1 23 31
1 23 32
1 23 33
1 23 34
1 23 35
1 23 36
1 23 37
1 23 38
1 23 39
1 23 40
1 23 41
1 23 42
1 24 25
1 24 26
1 24 27
1 24 28
1 24 29
1 24 30
1 24 31
1 24 32
1 24 33
1 24 34
1 24 35
1 24 36
1 24 37
1 24 38
1 24 39
1 24 40
1 24 41
1 24 42
1 25 26
1 25 27
1 25 28
1 25 29
1 25 30
1 25 31
1 25 32
1 25 33
1 25 34
1 25 35
1 25 36
1 25 37
1 25 38
1 25 39
1 25 40
1 25 41
1 25 42
1 26 27
1 26 28
1 26 29
1 26 30
1 26 31
1 26 32
1 26 33
1 26 34
1 26 35
1 26 36
1 26 37
1 26 38
1 26 39
1 26 40
1 26 41
1 26 42
1 27 28
1 27 29
1 27 30
1 27 31
1 27 32
1 27 33
1 27 34
1 27 35
1 27 36
1 27 37
1 27 38
1 27 39
1 27 40
1 27 41
1 27 42
1 28 29
1 28 30
1 28 31
1 28 32
1 28 33
1 28 34
1 28 35
1 28 36
1 28 37
1 28 38
1 28 39
1 28 40
1 28 41
1 28 42
1 29 30
1 29 31
1 29 32
1 29 33
1 29 34
1 29 35
1 29 36
1 29 37
1 29 38
1 29 39
1 29 40
1 29 41
1 29 42
1 30 31
1 30 32
1 30 33
1 30 34
1 30 35
1 30 36
1 30 37
1 30 38
1 30 39
1 30 40
1 30 41
1 30 42
1 31 32
1 31 33
1 31 34
1 31 35
1 31 36
1 31 37
1 31 38
1 31 39
1 31 40
1 31 41
1 31 42
1 32 33
1 32 34
1 32 35
1 32 36
1 32 37
1 32 38
1 32 39
1 32 40
1 32 41
1 32 42
1 33 34
1 33 35
1 33 36
1 33 37
1 33 38
1 33 39
1 33 40
1 33 41
1 33 42
1 34 35
1 34 36
1 34 37
1 34 38
1 34 39
1 34 40
1 34 41
1 34 42
1 35 36
1 35 37
1 35 38
1 35 39
1 35 40
1 35 41
1 35 42
1 36 37
1 36 38
1 36 39
1 36 40
1 36 41
1 36 42
1 37 38
1 37 39
1 37 40
1 37 41
1 37 42
1 38 39
1 38 40
1 38 41
1 38 42
1 39 40
1 39 41
1 39 42
1 40 41
1 40 42
1 41 42
5 9 19
5 9 20
5 9 21
5 9 22
5 9 23
5 9 24
5 9 25
5 9 26
5 9 27
5 9 28
5 9 29
5 9 30
5 9 31
5 9 32
5 9 33
5 9 34
5 9 35
5 9 36
5 9 37
5 9 38
5 9 39
5 9 40
5 9 41
5 9 42
5 14 19
5 14 20
5 14 21
5 14 22
5 14 23
5 14 24
5 14 25
5 14 26
5 14 27
5 14 28
5 14 29
5 14 30
5 14 31
5 14 32
5 14 33
5 14 34
5 14 35
5 14 36
5 14 37
5 14 38
5 14 39
5 14 40
5 14 41
5 14 42
5 15 19
5 15 20
5 15 21
5 15 22
5 15 23
5 15 24
5 15 25
5 15 26
5 15 27
5 15 28
5 15 29
5 15 30
5 15 31
5 15 32
5 15 33
5 15 34
5 15 35
5 15 36
5 15 37
5 15 38
5 15 39
5 15 40
5 15 41
5 15 42
5 19 20
5 19 21
5 19 22
5 19 23
5 19 24
5 19 25
5 19 26
5 19 27
5 19 28
5 19 29
5 19 30
5 19 31
5 19 32
5 19 33
5 19 34
5 19 35
5 19 36
5 19 37
5 19 38
5 19 39
5 19 40
5 19 41
5 19 42
5 20 21
5 20 22
5 20 23
5 20 24
5 20 25
5 20 26
5 20 27
5 20 28
5 20 29
5 20 30
5 20 31
5 20 32
5 20 33
5 20 34
5 20 35
5 20 36
5 20 37
5 20 38
5 20 39
5 20 40
5 20 41
5 20 42
5 21 22
5 21 23
5 21 24
5 21 25
5 21 26
5 21 27
5 21 28
5 21 29
5 21 30
5 21 31
5 21 32
5 21 33
5 21 34
5 21 35
5 21 36
5 21 37
5 21 38
5 21 39
5 21 40
5 21 41
5 21 42
5 22 23
5 22 24
5 22 25
5 22 26
5 22 27
5 22 28
5 22 29
5 22 30
5 22 31
5 22 32
5 22 33
5 22 34
5 22 35
5 22 36
5 22 37
5 22 38
5 22 39
5 22 40
5 22 41
5 22 42
5 23 24
5 23 25
5 23 26
5 23 27
5 23 28
5 23 29
5 23 30
5 23 31
5 23 32
5 23 33
5 23 34
5 23 35
5 23 36
5 23 37
5 23 38
5 23 39
5 23 40
5 23 41
5 23 42
5 24 25
5 24 26
5 24 27
5 24 28
5 24 29
5 24 30
5 24 31
5 24 32
5 24 33
5 24 34
5 24 35
5 24 36
5 24 37
5 24 38
5 24 39
5 24 40
5 24 41
5 24 42
5 25 26
5 25 27
5 25 28
5 25 29
5 25 30
5 25 31
5 25 32
5 25 33
5 25 34
5 25 35
5 25 36
5 25 37
5 25 38
5 25 39
5 25 40
5 25 41
5 25 42
5 26 27
5 26 28
5 26 29
5 26 30
5 26 31
5 26 32
5 26 33
5 26 34
5 26 35
5 26 36
5 26 37
5 26 38
5 26 39
5 26 40
5 26 41
5 26 42
5 27 28
5 27 29
5 27 30
5 27 31
5 27 32
5 27 33
5 27 34
5 27 35
5 27 36
5 27 37
5 27 38
5 27 39
5 27 40
5 27 41
5 27 42
5 28 29
5 28 30
5 28 31
5 28 32
5 28 33
5 28 34
5 28 35
5 28 36
5 28 37
5 28 38
5 28 39
5 28 40
5 28 41
5 28 42
5 29 30
5 29 31
5 29 32
5 29 33
5 29 34
5 29 35
5 29 36
5 29 37
5 29 38
5 29 39
5 29 40
5 29 41
5 29 42
5 30 31
5 30 32
5 30 33
5 30 34
5 30 35
5 30 36
5 30 37
5 30 38
5 30 39
5 30 40
5 30 41
5 30 42
5 31 32
5 31 33
5 31 34
5 31 35
5 31 36
5 31 37
5 31 38
5 31 39
5 31 40
5 31 41
5 31 42
5 32 33
5 32 34
5 32 35
5 32 36
5 32 37
5 32 38
5 32 39
5 32 40
5 32 41
5 32 42
5 33 34
5 33 35
5 33 36
5 33 37
5 33 38
5 33 39
5 33 40
5 33 41
5 33 42
5 34 35
5 34 36
5 34 37
5 34 38
5 34 39
5 34 40
5 34 41
5 34 42
5 35 36
5 35 37
5 35 38
5 35 39
5 35 40
5 35 41
5 35 42
5 36 37
5 36 38
5 36 39
5 36 40
5 36 41
5 36 42
5 37 38
5 37 39
5 37 40
5 37 41
5 37 42
5 38 39
5 38 40
5 38 41
5 38 42
5 39 40
5 39 41
5 39 42
5 40 41
5 40 42
5 41 42
9 14 19
9 14 20
9 14 21
9 14 22
9 14 23
9 14 24
9 14 25
9 14 26
9 14 27
9 14 28
9 14 29
9 14 30
9 14 31
9 14 32
9 14 33
9 14 34
9 14 35
9 14 36
9 14 37
9 14 38
9 14 39
9 14 40
9 14 41
9 14 42
9 15 19
9 15 20
9 15 21
9 15 22
9 15 23
9 15 24
9 15 25
9 15 26
9 15 27
9 15 28
9 15 29
9 15 30
9 15 31
9 15 32
9 15 33
9 15 34
9 15 35
9 15 36
9 15 37
9 15 38
9 15 39
9 15 40
9 15 41
9 15 42
9 19 20
9 19 21
9 19 22
9 19 23
9 19 24
9 19 25
9 19 26
9 19 27
9 19 28
9 19 29
9 19 30
9 19 31
9 19 32
9 19 33
9 19 34
9 19 35
9 19 36
9 19 37
9 19 38
9 19 39
9 19 40
9 19 41
9 19 42
9 20 21
9 20 22
9 20 23
9 20 24
9 20 25
9 20 26
9 20 27
9 20 28
9 20 29
9 20 30
9 20 31
9 20 32
9 20 33
9 20 34
9 20 35
9 20 36
9 20 37
9 20 38
9 20 39
9 20 40
9 20 41
9 20 42
9 21 22
9 21 23
9 21 24
9 21 25
9 21 26
9 21 27
9 21 28
9 21 29
9 21 30
9 21 31
9 21 32
9 21 33
9 21 34
9 21 35
9 21 36
9 21 37
9 21 38
9 21 39
9 21 40
9 21 41
9 21 42
9 22 23
9 22 24
9 22 25
9 22 26
9 22 27
9 22 28
9 22 29
9 22 30
9 22 31
9 22 32
9 22 33
9 22 34
9 22 35
9 22 36
9 22 37
9 22 38
9 22 39
9 22 40
9 22 41
9 22 42
9 23 24
9 23 25
9 23 26
9 23 27
9 23 28
9 23 29
9 23 30
9 23 31
9 23 32
9 23 33
9 23 34
9 23 35
9 23 36
9 23 37
9 23 38
9 23 39
9 23 40
9 23 41
9 23 42
9 24 25
9 24 26
9 24 27
9 24 28
9 24 29
9 24 30
9 24 31
9 24 32
9 24 33
9 24 34
9 24 35
9 24 36
9 24 37
9 24 38
9 24 39
9 24 40
9 24 41
9 24 42
9 25 26
9 25 27
9 25 28
9 25 29
9 25 30
9 25 31
9 25 32
9 25 33
9 25 34
9 25 35
9 25 36
9 25 37
9 25 38
9 25 39
9 25 40
9 25 41
9 25 42
9 26 27
9 26 28
9 26 29
9 26 30
9 26 31
9 26 32
9 26 33
9 26 34
9 26 35
9 26 36
9 26 37
9 26 38
9 26 39
9 26 40
9 26 41
9 26 42
9 27 28
9 27 29
9 27 30
9 27 31
9 27 32
9 27 33
9 27 34
9 27 35
9 27 36
9 27 37
9 27 38
9 27 39
9 27 40
9 27 41
9 27 42
9 28 29
9 28 30
9 28 31
9 28 32
9 28 33
9 28 34
9 28 35
9 28 36
9 28 37
9 28 38
9 28 39
9 28 40
9 28 41
9 28 42
9 29 30
9 29 31
9 29 32
9 29 33
9 29 34
9 29 35
9 29 36
9 29 37
9 29 38
9 29 39
9 29 40
9 29 41
9 29 42
9 30 31
9 30 32
9 30 33
9 30 34
9 30 35
9 30 36
9 30 37
9 30 38
9 30 39
9 30 40
9 30 41
9 30 42
9 31 32
9 31 33
9 31 34
9 31 35
9 31 36
9 31 37
9 31 38
9 31 39
9 31 40
9 31 41
9 31 42
9 32 33
9 32 34
9 32 35
9 32 36
9 32 37
9 32 38
9 32 39
9 32 40
9 32 41
9 32 42
9 33 34
9 33 35
9 33 36
9 33 37
9 33 38
9 33 39
9 33 40
9 33 41
9 33 42
9 34 35
9 34 36
9 34 37
9 34 38
9 34 39
9 34 40
9 34 41
9 34 42
9 35 36
9 35 37
9 35 38
9 35 39
9 35 40
9 35 41
9 35 42
9 36 37
9 36 38
9 36 39
9 36 40
9 36 41
9 36 42
9 37 38
9 37 39
9 37 40
9 37 41
9 37 42
9 38 39
9 38 40
9 38 41
9 38 42
9 39 40
9 39 41
9 39 42
9 40 41
9 40 42
9 41 42
14 15 19
14 15 20
14 15 21
14 15 22
14 15 23
14 15 24
14 15 25
14 15 26
14 15 27
14 15 28
14 15 29
14 15 30
14 15 31
14 15 32
14 15 33
14 15 34
14 15 35
14 15 36
14 15 37
14 15 38
14 15 39
14 15 40
14 15 41
14 15 42
14 19 20
14 19 21
14 19 22
14 19 23
14 19 24
14 19 25
14 19 26
14 19 27
14 19 28
14 19 29
14 19 30
14 19 31
14 19 32
14 19 33
14 19 34
14 19 35
14 19 36
14 19 37
14 19 38
14 19 39
14 19 40
14 19 41
14 19 42
14 20 21
14 20 22
14 20 23
14 20 24
14 20 25
14 20 26
14 20 27
14 20 28
14 20 29
14 20 30
14 20 31
14 20 32
14 20 33
14 20 34
14 20 35
14 20 36
14 20 37
14 20 38
14 20 39
14 20 40
14 20 41
14 20 42
14 21 22
14 21 23
14 21 24
14 21 25
14 21 26
14 21 27
14 21 28
14 21 29
14 21 30
14 21 31
14 21 32
14 21 33
14 21 34
14 21 35
14 21 36
14 21 37
14 21 38
14 21 39
14 21 40
14 21 41
14 21 42
14 22 23
14 22 24
14 22 25
14 22 26
14 22 27
14 22 28
14 22 29
14 22 30
14 22 31
14 22 32
14 22 33
14 22 34
14 22 35
14 22 36
14 22 37
14 22 38
14 22 39
14 22 40
14 22 41
14 22 42
14 23 24
14 23 25
14 23 26
14 23 27
14 23 28
14 23 29
14 23 30
14 23 31
14 23 32
14 23 33
14 23 34
14 23 35
14 23 36
14 23 37
14 23 38
14 23 39
14 23 40
14 23 41
14 23 42
14 24 25
14 24 26
14 24 27
14 24 28
14 24 29
14 24 30
14 24 31
14 24 32
14 24 33
14 24 34
14 24 35
14 24 36
14 24 37
14 24 38
14 24 39
14 24 40
14 24 41
14 24 42
14 25 26
14 25 27
14 25 28
14 25 29
14 25 30
14 25 31
14 25 32
14 25 33
14 25 34
14 25 35
14 25 36
14 25 37
14 25 38
14 25 39
14 25 40
14 25 41
14 25 42
14 26 27
14 26 28
14 26 29
14 26 30
14 26 31
14 26 32
14 26 33
14 26 34
14 26 35
14 26 36
14 26 37
14 26 38
14 26 39
14 26 40
14 26 41
14 26 42
14 27 28
14 27 29
14 27 30
14 27 31
14 27 32
14 27 33
14 27 34
14 27 35
14 27 36
14 27 37
14 27 38
14 27 39
14 27 40
14 27 41
14 27 42
14 28 29
14 28 30
14 28 31
14 28 32
14 28 33
14 28 34
14 28 35
14 28 36
14 28 37
14 28 38
14 28 39
14 28 40
14 28 41
14 28 42
14 29 30
14 29 31
14 29 32
14 29 33
14 29 34
14 29 35
14 29 36
14 29 37
14 29 38
14 29 39
14 29 40
14 29 41
14 29 42
14 30 31
14 30 32
14 30 33
14 30 34
14 30 35
14 30 36
14 30 37
14 30 38
14 30 39
14 30 40
14 30 41
14 30 42
14 31 32
14 31 33
14 31 34
14 31 35
14 31 36
14 31 37
14 31 38
14 31 39
14 31 40
14 31 41
14 31 42
14 32 33
14 32 34
14 32 35
14 32 36
14 32 37
14 32 38
14 32 39
14 32 40
14 32 41
14 32 42
14 33 34
14 33 35
14 33 36
14 33 37
14 33 38
14 33 39
14 33 40
14 33 41
14 33 42
14 34 35
14 34 36
14 34 37
14 34 38
14 34 39
14 34 40
14 34 41
14 34 42
14 35 36
14 35 37
14 35 38
14 35 39
14 35 40
14 35 41
14 35 42
14 36 37
14 36 38
14 36 39
14 36 40
14 36 41
14 36 42
14 37 38
14 37 39
14 37 40
14 37 41
14 37 42
14 38 39
14 38 40
14 38 41
14 38 42
14 39 40
14 39 41
14 39 42
14 40 41
14 40 42
14 41 42
15 19 20
15 19 21
15 19 22
15 19 23
15 19 24
15 19 25
15 19 26
15 19 27
15 19 28
15 19 29
15 19 30
15 19 31
15 19 32
15 19 33
15 19 34
15 19 35
15 19 36
15 19 37
15 19 38
15 19 39
15 19 40
15 19 41
15 19 42
15 20 21
15 20 22
15 20 23
15 20 24
15 20 25
15 20 26
15 20 27
15 20 28
15 20 29
15 20 30
15 20 31
15 20 32
15 20 33
15 20 34
15 20 35
15 20 36
15 20 37
15 20 38
15 20 39
15 20 40
15 20 41
15 20 42
15 21 22
15 21 23
15 21 24
15 21 25
15 21 26
15 21 27
15 21 28
15 21 29
15 21 30
15 21 31
15 21 32
15 21 33
15 21 34
15 21 35
15 21 36
15 21 37
15 21 38
15 21 39
15 21 40
15 21 41
15 21 42
15 22 23
15 22 24
15 22 25
15 22 26
15 22 27
15 22 28
15 22 29
15 22 30
15 22 31
15 22 32
15 22 33
15 22 34
15 22 35
15 22 36
15 22 37
15 22 38
15 22 39
15 22 40
15 22 41
15 22 42
15 23 24
15 23 25
15 23 26
15 23 27
15 23 28
15 23 29
15 23 30
15 23 31
15 23 32
15 23 33
15 23 34
15 23 35
15 23 36
15 23 37
15 23 38
15 23 39
15 23 40
15 23 41
15 23 42
15 24 25
15 24 26
15 24 27
15 24 28
15 24 29
15 24 30
15 24 31
15 24 32
15 24 33
15 24 34
15 24 35
15 24 36
15 24 37
15 24 38
15 24 39
15 24 40
15 24 41
15 24 42
15 25 26
15 25 27
15 25 28
15 25 29
15 25 30
15 25 31
15 25 32
15 25 33
15 25 34
15 25 35
15 25 36
15 25 37
15 25 38
15 25 39
15 25 40
15 25 41
15 25 42
15 26 27
15 26 28
15 26 29
15 26 30
15 26 31
15 26 32
15 26 33
15 26 34
15 26 35
15 26 36
15 26 37
15 26 38
15 26 39
15 26 40
15 26 41
15 26 42
15 27 28
15 27 29
15 27 30
15 27 31
15 27 32
15 27 33
15 27 34
15 27 35
15 27 36
15 27 37
15 27 38
15 27 39
15 27 40
15 27 41
15 27 42
15 28 29
